accuracy,f1,auc,accuracy_optimal,f1_optimal,optimal_threshold,method,perturbation,patch_expert_weight,clip_expert_weight
0.5,0.6666666666666666,0.7032000000000002,0.68,0.68,0.5214407444000244,cifake,jpeg_q50,,
0.5,0.6666666666666666,0.7036,0.68,0.6923076923076923,0.5215259790420532,cifake,jpeg_q70,,
0.5,0.6666666666666666,0.7028,0.68,0.6981132075471698,0.5216801166534424,cifake,jpeg_q90,,
0.5,0.6666666666666666,0.6721999999999999,0.67,0.611764705882353,0.5084760189056396,cifake,noise_std0.01,,
0.5,0.6666666666666666,0.674,0.67,0.611764705882353,0.5084813237190247,cifake,noise_std0.05,,
0.5,0.6666666666666666,0.6664000000000001,0.66,0.5641025641025641,0.5085324645042419,cifake,noise_std0.1,,
0.5,0.6666666666666666,0.6960000000000001,0.69,0.7047619047619048,0.5177792310714722,cifake,crop_80pct,,
0.5,0.6666666666666666,0.6996,0.7,0.7222222222222222,0.5151964426040649,cifake,crop_60pct,,
0.57,0.6386554621848739,0.6432,0.7,0.7058823529411765,0.5004960298538208,aide,jpeg_q50,0.49955108761787415,0.5004488229751587
0.59,0.6666666666666666,0.634,0.64,0.625,0.5006975531578064,aide,jpeg_q70,0.4993557035923004,0.500644326210022
0.56,0.65625,0.6556,0.66,0.6666666666666666,0.5008544921875,aide,jpeg_q90,0.4989575147628784,0.5010424852371216
0.53,0.6758620689655173,0.5732,0.58,0.6911764705882353,0.5008540153503418,aide,noise_std0.01,0.5002886056900024,0.4997113347053528
0.54,0.6714285714285714,0.59,0.6,0.574468085106383,0.5015934705734253,aide,noise_std0.05,0.5012729167938232,0.49872711300849915
0.57,0.6906474820143885,0.592,0.62,0.6779661016949152,0.5006858110427856,aide,noise_std0.1,0.500846803188324,0.4991532266139984
0.59,0.6434782608695652,0.6324000000000001,0.63,0.6105263157894737,0.5005768537521362,aide,crop_80pct,0.4985862076282501,0.5014138221740723
0.47,0.5954198473282443,0.5276,0.58,0.5625,0.5009526014328003,aide,crop_60pct,0.4984964430332184,0.501503586769104
0.5,0.0,0.5484,0.61,0.6548672566371682,0.13899850845336914,zed,jpeg_q50,,
0.5,0.0,0.554,0.61,0.6608695652173913,0.13967452943325043,zed,jpeg_q70,,
0.5,0.0,0.5632,0.61,0.6722689075630253,0.13762058317661285,zed,jpeg_q90,,
0.5,0.0,0.5167999999999999,0.58,0.4878048780487805,0.1915953904390335,zed,noise_std0.01,,
0.5,0.0,0.5224,0.56,0.56,0.18768642842769623,zed,noise_std0.05,,
0.5,0.0,0.5691999999999999,0.59,0.49382716049382713,0.19248032569885254,zed,noise_std0.1,,
0.5,0.0,0.5636,0.62,0.6666666666666666,0.14153286814689636,zed,crop_80pct,,
0.5,0.0,0.5492,0.61,0.6138613861386139,0.14828452467918396,zed,crop_60pct,,
